Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,PM.Attention.IsActive,PM.Attention.Scaled,PM.Attention.Raw,PM.Attention.Min,PM.Attention.Max,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,RelativeTimestamp
1735984932.844238,1735984932.845006,104.0,0.0,4258.589844,4349.487305,4074.230713,4082.692383,4257.307617,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,26.0,0.0,0.727258,0.11145,0.66156,-0.144958,0.975601,0.017334,-0.107668,-4.049086,-15.755818,-10.24575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.004861116409302
1735984932.852049,1735984932.852816,105.0,0.0,4258.717773,4347.820313,4079.230713,4080.0,4251.666504,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.012672185897827
1735984932.859859,1735984932.860627,106.0,0.0,4271.794922,4349.743652,4083.718018,4086.410156,4260.384766,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.020482063293457
1735984932.86767,1735984932.868437,107.0,0.0,4272.436035,4349.743652,4088.333252,4095.384521,4271.666504,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.028293132781982
1735984932.87548,1735984932.876347,108.0,0.0,4268.589844,4346.794922,4081.666748,4096.538574,4268.589844,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,27.0,0.0,0.727342,0.111389,0.661438,-0.145142,0.9673,0.034424,-0.098878,-4.167562,-15.720482,-10.32776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.036103010177612
1735984932.88329,1735984932.884157,109.0,0.0,4270.512695,4346.410156,4070.128174,4086.794922,4258.205078,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.043913125991821
1735984932.891101,1735984932.891968,110.0,0.0,4263.589844,4345.641113,4078.846191,4076.025635,4253.846191,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.051723957061768
1735984932.898911,1735984932.899778,111.0,0.0,4249.487305,4340.128418,4088.974365,4063.205078,4248.333496,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.059534072875977
1735984932.906722,1735984932.907688,112.0,0.0,4254.358887,4338.589844,4077.05127,4052.564209,4244.871582,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,28.0,0.0,0.727571,0.111023,0.661194,-0.145386,0.9673,0.034424,-0.098878,-4.27419,-15.68868,-10.401568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.067345142364502
1735984932.914532,1735984932.915499,113.0,0.0,4275.128418,4346.922852,4077.435791,4065.256348,4258.974121,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.075155019760132
1735984932.922342,1735984932.923309,114.0,0.0,4282.179688,4352.692383,4096.666504,4082.179443,4272.563965,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.79431,1.585924,1.95137,0.931223,0.64506,1.019455,0.280991,0.470227,0.375563,0.276599,5.076392,7.582998,3.314058,1.467708,0.800404,2.226211,1.023353,1.00801,0.799524,0.395022,3.800385,0.572118,2.008101,0.545062,0.372958,11.08296513557434
1735984932.930153,1735984932.931119,115.0,0.0,4274.871582,4346.922852,4090.128174,4075.256348,4262.563965,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.090775966644287
1735984932.937963,1735984932.93903,116.0,0.0,4270.512695,4338.461426,4069.230713,4074.358887,4249.743652,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,29.0,0.0,0.727507,0.11084,0.661255,-0.145569,0.9673,0.034424,-0.098878,-4.250525,-15.734827,-10.21378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.098586082458496
1735984932.945774,1735984932.94684,117.0,0.0,4267.436035,4337.436035,4068.846191,4087.05127,4251.410156,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.106397151947021
1735984932.953584,1735984932.95465,118.0,0.0,4267.05127,4342.692383,4066.153809,4078.846191,4255.512695,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.114207029342651
1735984932.961394,1735984932.962461,119.0,0.0,4275.0,4348.333496,4055.256348,4067.179443,4259.230957,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.12201714515686
1735984932.969205,1735984932.970171,120.0,0.0,4275.897461,4346.538574,4062.435791,4070.641113,4261.666504,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,30.0,0.0,0.72735,0.110779,0.661438,-0.145569,0.979995,0.019776,-0.111086,-4.199318,-15.836174,-10.284033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.129827976226807
1735984932.977015,1735984932.977982,121.0,0.0,4262.179688,4336.282227,4066.538574,4060.512939,4251.282227,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.137638092041016
1735984932.984826,1735984932.985792,122.0,0.0,4250.769043,4330.384766,4048.076904,4043.974365,4235.0,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.145449161529541
1735984932.992636,1735984932.993602,123.0,0.0,4247.436035,4331.025879,4034.358887,4044.358887,4228.205078,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.153259038925171
1735984933.000446,1735984933.001313,124.0,0.0,4248.333496,4326.794922,4030.256348,4043.846191,4227.94873,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,31.0,0.0,0.72734,0.110718,0.661499,-0.145386,0.967788,0.033936,-0.106691,-4.108371,-15.762895,-10.407075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.16106915473938
1735984933.008257,1735984933.009123,125.0,0.0,4254.743652,4325.897461,4028.974365,4044.102539,4229.487305,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.168879985809326
1735984933.016067,1735984933.016933,126.0,0.0,4256.282227,4340.384766,4045.512939,4055.256348,4231.922852,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.176690101623535
1735984933.023878,1735984933.024744,127.0,0.0,4248.974121,4348.077148,4058.974365,4052.307617,4226.025879,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.18450117111206
1735984933.031688,1735984933.032454,0.0,0.0,4247.436035,4335.512695,4046.153809,4037.307617,4214.102539,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,0.0,0.0,0.727241,0.110718,0.661621,-0.145325,0.967788,0.033936,-0.106691,-4.026518,-15.696943,-10.517814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19231104850769
1735984933.039499,1735984933.040265,1.0,0.0,4249.230957,4326.666504,4038.974365,4034.615479,4212.436035,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.200122117996216
1735984933.047309,1735984933.048075,2.0,0.0,4243.589844,4328.205078,4040.897461,4036.538574,4220.256348,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.075695,1.378125,2.00423,0.822681,0.608345,0.967161,0.209476,0.378398,0.415249,0.259333,5.655857,6.312881,2.616962,1.46121,0.752899,2.49056,1.151041,1.096604,0.771147,0.364587,4.725337,0.468591,2.049507,0.581289,0.340924,11.207931995391846
1735984933.055119,1735984933.055885,3.0,0.0,4240.384766,4321.410156,4014.102539,4036.923096,4219.102539,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.215742111206055
1735984933.06293,1735984933.063796,4.0,0.0,4242.820313,4313.589844,3982.179443,4041.666748,4208.333496,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,1.0,0.0,0.727309,0.110718,0.66156,-0.145264,0.975601,0.018799,-0.099855,-4.147251,-15.667495,-10.497848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.22355318069458
1735984933.07074,1735984933.071606,5.0,0.0,4241.538574,4321.153809,3994.102539,4043.589844,4206.410156,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.23136305809021
