Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,RelativeTimestamp
1735983346.948758,1735983346.949894,63.0,0.0,4377.307617,4389.615234,4172.692383,4334.358887,4285.128418,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1735983346.956569,1735983346.957804,64.0,0.0,4356.794922,4396.410156,4171.666504,4335.384766,4283.205078,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,16.0,0.0,0.71438,0.188538,0.660217,-0.13501,0.975601,-0.091554,-0.05005,-3.13262,-20.498833,-8.029888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007811069488525391
1735983346.964379,1735983346.965615,65.0,0.0,4353.205078,4400.512695,4181.794922,4332.692383,4284.230957,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015621185302734375
1735983346.972189,1735983346.973425,66.0,0.0,4367.94873,4410.128418,4198.333496,4347.820313,4294.102539,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,4.57828,2.354839,2.411163,0.823982,0.841541,3.299483,2.409502,0.708323,0.761588,0.483141,4.085936,1.739769,1.477261,1.721377,0.738064,5.998989,1.876977,2.686559,1.450951,0.515363,4.604262,1.587942,1.42809,0.632721,0.216955,,,,,,,,0.023431062698364258
1735983346.98,1735983346.981236,67.0,0.0,4357.94873,4401.025879,4184.230957,4342.692383,4291.282227,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03124213218688965
1735983346.98781,1735983346.989146,68.0,0.0,4334.487305,4390.641113,4167.05127,4322.307617,4282.563965,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,17.0,0.0,0.714437,0.188354,0.660095,-0.135559,0.975601,-0.091554,-0.05005,-3.058619,-20.512581,-8.04936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03905200958251953
1735983346.995621,1735983346.996956,69.0,0.0,4346.922852,4412.179688,4186.282227,4328.589844,4291.153809,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04686307907104492
1735983347.003431,1735983347.004767,70.0,0.0,4360.641113,4423.717773,4195.641113,4326.025879,4293.846191,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054673194885253906
1735983347.011241,1735983347.012577,71.0,0.0,4342.692383,4405.0,4176.666504,4298.077148,4282.436035,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06248307228088379
1735983347.019052,1735983347.020287,72.0,0.0,4348.589844,4398.077148,4181.282227,4296.922852,4294.615234,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,18.0,0.0,0.714525,0.188538,0.659973,-0.135437,0.975601,-0.091554,-0.05005,-2.992019,-20.524952,-8.066885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07029414176940918
