Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,RelativeTimestamp
1735984386.951682,1735984386.952518,99.0,0.0,4233.717773,4301.282227,4020.0,4114.102539,4237.05127,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1735984386.959493,1735984386.960228,100.0,0.0,4233.846191,4309.615234,4008.974365,4116.410156,4242.436035,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,25.0,0.0,0.729608,0.155823,0.658875,-0.096313,0.980484,-0.089113,-0.068605,-2.285235,-18.911251,-9.978026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007810831069946289
1735984386.967303,1735984386.968039,101.0,0.0,4235.897461,4310.128418,4026.025635,4125.769043,4247.820313,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015620946884155273
1735984386.975114,1735984386.975849,102.0,0.0,4242.179688,4304.743652,4043.205078,4122.307617,4246.282227,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023432016372680664
1735984386.982924,1735984386.98366,103.0,0.0,4242.692383,4305.512695,4049.615479,4113.717773,4244.743652,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031241893768310547
1735984386.990734,1735984386.99137,104.0,0.0,4237.307617,4306.538574,4045.641113,4118.717773,4248.974121,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,26.0,0.0,0.729721,0.155884,0.658752,-0.096191,0.980484,-0.089113,-0.068605,-2.281019,-18.844494,-9.997085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03905200958251953
1735984386.998545,1735984386.99918,105.0,0.0,4238.461426,4300.128418,4037.05127,4127.563965,4252.94873,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04686284065246582
1735984387.006355,1735984387.006991,106.0,0.0,4242.820313,4298.461426,4039.358887,4127.820313,4250.641113,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054672956466674805
1735984387.014166,1735984387.014801,107.0,0.0,4237.179688,4309.615234,4052.179443,4125.128418,4244.743652,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062484025955200195
1735984387.021976,1735984387.022711,108.0,0.0,4224.615234,4317.94873,4059.487061,4119.871582,4239.102539,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,27.0,0.0,0.729891,0.155823,0.658569,-0.096252,0.968765,-0.100832,-0.087648,-2.262271,-18.844229,-10.074053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07029390335083008
1735984387.029786,1735984387.030522,109.0,0.0,4222.692383,4315.897461,4056.410156,4118.333496,4236.666504,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07810401916503906
1735984387.037597,1735984387.038332,110.0,0.0,4235.128418,4314.871582,4049.487061,4128.333496,4239.615234,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08591485023498535
1735984387.045407,1735984387.046142,111.0,0.0,4240.256348,4314.230957,4044.615479,4129.358887,4239.743652,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09372496604919434
1735984387.053218,1735984387.054053,112.0,0.0,4231.538574,4310.256348,4041.794922,4118.205078,4233.461426,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,28.0,0.0,0.729888,0.155762,0.658569,-0.096375,0.977554,-0.09546,-0.084718,-2.379982,-18.858944,-9.904062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10153579711914062
1735984387.061028,1735984387.061863,113.0,0.0,4234.743652,4316.025879,4043.076904,4125.512695,4237.692383,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10934591293334961
1735984387.068838,1735984387.069673,114.0,0.0,4251.153809,4328.205078,4052.820557,4142.307617,4252.820313,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,8.29955,1.989654,0.575673,0.538528,0.505646,2.637077,1.104126,0.433405,0.282553,0.453135,4.044159,2.552459,0.747625,0.865065,0.968385,1.526668,1.478729,0.647185,1.009464,0.606809,13.957672,2.43883,0.931403,0.568786,0.499734,,,,,,,,0.11715579032897949
1735984387.076649,1735984387.077484,115.0,0.0,4255.128418,4327.563965,4056.923096,4142.05127,4257.563965,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12496685981750488
1735984387.084459,1735984387.085394,116.0,0.0,4251.153809,4319.358887,4041.153809,4136.666504,4252.94873,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,29.0,0.0,0.73003,0.156128,0.658325,-0.096375,0.977554,-0.09546,-0.084718,-2.500876,-18.857233,-9.945472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13277697563171387
1735984387.09227,1735984387.093204,117.0,0.0,4255.641113,4317.563965,4030.128174,4134.230957,4251.794922,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14058780670166016
1735984387.10008,1735984387.101015,118.0,0.0,4258.205078,4320.256348,4046.666748,4134.102539,4252.692383,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14839792251586914
1735984387.10789,1735984387.108825,119.0,0.0,4256.922852,4329.358887,4067.05127,4147.692383,4256.153809,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15620779991149902
1735984387.115701,1735984387.116535,120.0,0.0,4264.102539,4344.358887,4072.435791,4158.974121,4262.563965,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,30.0,0.0,0.730064,0.156189,0.658264,-0.096436,0.977554,-0.09546,-0.084718,-2.609681,-18.855694,-9.982739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16401886940002441
1735984387.123511,1735984387.124346,121.0,0.0,4275.512695,4350.0,4077.564209,4154.358887,4269.358887,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1718289852142334
1735984387.131322,1735984387.132156,122.0,0.0,4280.769043,4343.846191,4084.230713,4159.487305,4279.358887,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1796398162841797
1735984387.139132,1735984387.139967,123.0,0.0,4283.205078,4345.256348,4085.256348,4170.512695,4286.794922,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18744993209838867
1735984387.146943,1735984387.147677,124.0,0.0,4288.717773,4359.743652,4091.153809,4166.410156,4284.743652,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,31.0,0.0,0.730019,0.156067,0.658325,-0.096558,0.965835,-0.10425,-0.085206,-2.573021,-18.988894,-10.046188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19526100158691406
1735984387.154753,1735984387.155487,125.0,0.0,4293.205078,4366.794922,4100.256348,4163.461426,4284.358887,0.0,3.0,72.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20307087898254395
