Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,RelativeTimestamp
1735983560.047868,1735983560.0488,83.0,0.0,4232.820313,4321.666504,4040.512939,4118.077148,4212.820313,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1735983560.055679,1735983560.05671,84.0,0.0,4239.871582,4320.384766,4057.692383,4119.487305,4223.461426,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,21.0,0.0,0.718038,0.198242,0.650757,-0.147095,0.976577,-0.093507,-0.068116,-2.918705,-21.700066,-7.882709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007811069488525391
1735983560.063489,1735983560.06452,85.0,0.0,4241.794922,4334.102539,4078.718018,4119.743652,4231.666504,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015620946884155273
1735983560.071299,1735983560.072331,86.0,0.0,4257.820313,4352.436035,4098.589844,4142.94873,4245.641113,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023431062698364258
1735983560.07911,1735983560.080141,87.0,0.0,4269.230957,4343.846191,4087.307617,4158.205078,4253.333496,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031241893768310547
1735983560.08692,1735983560.088051,88.0,0.0,4253.717773,4327.563965,4063.974365,4141.794922,4237.179688,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,22.0,0.0,0.718005,0.198425,0.650696,-0.147278,0.976577,-0.093507,-0.068116,-2.866096,-21.71332,-7.916899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03905200958251953
1735983560.094731,1735983560.095862,89.0,0.0,4247.307617,4337.307617,4070.256348,4140.897461,4231.025879,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04686307907104492
1735983560.102541,1735983560.103672,90.0,0.0,4255.769043,4345.384766,4080.641113,4156.153809,4241.538574,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054672956466674805
1735983560.110352,1735983560.111482,91.0,0.0,4247.94873,4331.538574,4071.153809,4149.871582,4232.179688,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062484025955200195
1735983560.118162,1735983560.119393,92.0,0.0,4248.205078,4325.641113,4067.94873,4150.512695,4222.820313,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,23.0,0.0,0.718134,0.198425,0.650513,-0.147461,0.971695,-0.093996,-0.080812,-2.863609,-21.680386,-7.902809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07029390335083008
1735983560.125972,1735983560.127203,93.0,0.0,4263.846191,4328.974121,4072.692383,4166.794922,4233.974121,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07810401916503906
1735983560.133783,1735983560.135013,94.0,0.0,4252.563965,4319.230957,4063.974365,4154.743652,4230.128418,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08591508865356445
1735983560.141593,1735983560.142824,95.0,0.0,4233.077148,4309.615234,4051.538574,4135.384766,4216.153809,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09372496604919434
1735983560.149404,1735983560.150534,96.0,0.0,4242.692383,4314.358887,4050.512939,4146.153809,4223.589844,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,24.0,0.0,0.71829,0.198059,0.650452,-0.147461,0.977066,-0.101808,-0.080323,-2.921187,-21.605886,-7.979851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10153603553771973
1735983560.157214,1735983560.158345,97.0,0.0,4254.871582,4317.436035,4053.076904,4155.897461,4231.794922,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10934591293334961
1735983560.165024,1735983560.166155,98.0,0.0,4251.025879,4309.358887,4046.153809,4149.487305,4224.871582,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,3.02666,1.715765,0.455932,0.616705,0.653257,1.16391,0.968636,0.512106,0.679936,0.275158,3.913836,3.491609,1.291564,1.015562,0.413707,5.321313,0.895044,0.78924,1.157668,0.566106,2.338874,1.957747,0.606716,0.657108,0.379884,,,,,,,,0.1171560287475586
1735983560.172835,1735983560.173965,99.0,0.0,4241.922852,4300.769043,4032.05127,4152.436035,4216.794922,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12496709823608398
1735983560.180645,1735983560.181676,100.0,0.0,4231.666504,4301.538574,4030.769287,4159.871582,4209.743652,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,25.0,0.0,0.718405,0.197815,0.65033,-0.147766,0.977066,-0.101808,-0.080323,-2.973006,-21.538836,-8.049189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13277697563171387
1735983560.188456,1735983560.189486,101.0,0.0,4234.871582,4306.538574,4046.410156,4158.974121,4210.641113,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14058804512023926
1735983560.196266,1735983560.197296,102.0,0.0,4245.897461,4304.230957,4052.820557,4161.025879,4222.179688,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14839792251586914
1735983560.204076,1735983560.205107,103.0,0.0,4241.794922,4304.230957,4044.615479,4170.384766,4225.128418,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15620803833007812
1735983560.211887,1735983560.213017,104.0,0.0,4244.871582,4319.358887,4047.820557,4181.538574,4225.256348,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,26.0,0.0,0.718134,0.198425,0.650513,-0.147461,0.961929,-0.090578,-0.076417,-3.019644,-21.478489,-8.156454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16401886940002441
1735983560.219697,1735983560.220827,105.0,0.0,4262.692383,4329.230957,4058.974365,4188.077148,4235.256348,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1718289852142334
1735983560.227508,1735983560.228638,106.0,0.0,4255.897461,4317.94873,4054.358887,4183.077148,4237.307617,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1796400547027588
1735983560.235318,1735983560.236448,107.0,0.0,4243.974121,4310.512695,4051.666748,4173.205078,4234.102539,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18744993209838867
1735983560.243128,1735983560.244358,108.0,0.0,4260.256348,4317.820313,4067.564209,4170.128418,4240.897461,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,27.0,0.0,0.718372,0.197754,0.65033,-0.14801,0.961929,-0.090578,-0.076417,-3.061618,-21.424177,-8.252993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19526004791259766
1735983560.250939,1735983560.252169,109.0,0.0,4258.333496,4315.128418,4067.820557,4168.846191,4235.128418,0.0,3.0,73.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20307087898254395
