Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,RelativeTimestamp
1735984697.875806,1735984697.87691,100.0,0.0,4257.820313,4340.769043,4121.410156,4198.717773,4250.897461,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,25.0,0.0,0.729167,0.192566,0.642822,-0.134216,0.968765,-0.098878,-0.092531,-1.929867,-21.496367,-9.4592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.003789186477661
1735984697.883616,1735984697.88472,101.0,0.0,4252.05127,4334.230957,4112.692383,4199.230957,4249.487305,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.011599063873291
1735984697.891426,1735984697.89253,102.0,0.0,4255.512695,4332.820313,4115.897461,4207.436035,4260.641113,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0194091796875
1735984697.899237,1735984697.900341,103.0,0.0,4263.205078,4334.615234,4121.025879,4206.153809,4260.512695,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.027220010757446
1735984697.907047,1735984697.908251,104.0,0.0,4252.692383,4334.743652,4110.641113,4193.205078,4245.0,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,26.0,0.0,0.729107,0.192749,0.642822,-0.134277,0.968765,-0.098878,-0.092531,-1.916326,-21.619715,-9.350696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.035030126571655
1735984697.914858,1735984697.916061,105.0,0.0,4245.897461,4338.717773,4111.666504,4193.974121,4244.615234,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.04284119606018
1735984697.922668,1735984697.923872,106.0,0.0,4262.692383,4341.922852,4121.538574,4200.769043,4256.538574,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05065107345581
1735984697.930478,1735984697.931682,107.0,0.0,4269.358887,4334.743652,4108.846191,4195.769043,4257.179688,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.05846118927002
1735984697.938289,1735984697.939592,108.0,0.0,4260.512695,4328.205078,4100.256348,4201.538574,4259.102539,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,27.0,0.0,0.729031,0.192993,0.642822,-0.134338,0.973159,-0.108156,-0.102785,-1.82937,-21.581188,-9.357718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.066272020339966
1735984697.946099,1735984697.947403,109.0,0.0,4266.153809,4328.333496,4112.05127,4218.846191,4265.641113,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.074082136154175
1735984697.95391,1735984697.955213,110.0,0.0,4273.205078,4330.256348,4107.563965,4216.794922,4258.846191,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0818932056427
1735984697.96172,1735984697.963023,111.0,0.0,4264.615234,4342.307617,4098.077148,4209.102539,4254.615234,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.08970308303833
1735984697.96953,1735984697.970734,112.0,0.0,4261.410156,4355.384766,4115.384766,4216.025879,4264.743652,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,28.0,0.0,0.728999,0.193115,0.642822,-0.134338,0.975113,-0.114504,-0.102296,-1.870741,-21.621284,-9.33413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.097513198852539
1735984697.977341,1735984697.978544,113.0,0.0,4267.820313,4346.666504,4128.846191,4216.153809,4266.410156,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.105324029922485
1735984697.985151,1735984697.986354,114.0,0.0,4266.410156,4332.94873,4114.615234,4207.436035,4260.897461,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,114.916214,11.78758,3.732846,1.715495,0.583295,5.122363,0.318467,0.680581,0.62579,0.436575,8.343296,2.416875,5.398582,1.929909,0.932553,7.660713,2.76895,1.194023,1.093768,0.412503,106.626038,10.739857,5.387078,1.240488,0.400304,,,,,,,,15.113134145736694
1735984697.992962,1735984697.994165,115.0,0.0,4258.974121,4337.94873,4101.153809,4209.102539,4262.692383,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.12094497680664
1735984698.000772,1735984698.001875,116.0,0.0,4255.256348,4346.153809,4104.743652,4212.05127,4260.769043,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,29.0,0.0,0.729102,0.19281,0.642822,-0.134216,0.975113,-0.114504,-0.102296,-1.907975,-21.65737,-9.312901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.12875509262085
1735984698.008582,1735984698.009686,117.0,0.0,4256.794922,4344.358887,4108.205078,4204.230957,4252.692383,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.136565208435059
1735984698.016393,1735984698.017496,118.0,0.0,4255.512695,4336.282227,4100.769043,4193.974121,4248.846191,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.144376039505005
1735984698.024203,1735984698.025306,119.0,0.0,4242.05127,4326.282227,4096.410156,4186.410156,4244.358887,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.152186155319214
1735984698.032014,1735984698.033217,120.0,0.0,4231.282227,4324.743652,4102.563965,4183.846191,4238.589844,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,30.0,0.0,0.729139,0.192627,0.642822,-0.134277,0.972671,-0.101808,-0.096925,-1.986346,-21.585171,-9.293796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.15999698638916
1735984698.039824,1735984698.041027,121.0,0.0,4239.230957,4326.794922,4104.487305,4184.743652,4236.025879,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.16780710220337
1735984698.047634,1735984698.048837,122.0,0.0,4241.538574,4318.974121,4099.487305,4181.153809,4232.05127,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.175616979598999
1735984698.055445,1735984698.056648,123.0,0.0,4228.077148,4317.05127,4096.666504,4178.205078,4232.05127,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.183428049087524
1735984698.063255,1735984698.064558,124.0,0.0,4235.256348,4325.512695,4092.05127,4186.153809,4245.256348,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,31.0,0.0,0.729067,0.192688,0.642822,-0.134583,0.981949,-0.09546,-0.102785,-1.877435,-21.490284,-9.216785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.191238164901733
1735984698.071066,1735984698.072368,125.0,0.0,4258.974121,4318.846191,4088.333252,4191.410156,4255.256348,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19904899597168
1735984698.078876,1735984698.080179,126.0,0.0,4254.230957,4307.05127,4087.307617,4183.205078,4247.436035,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.206859111785889
1735984698.086686,1735984698.087989,127.0,0.0,4235.512695,4311.410156,4068.205078,4174.615234,4236.538574,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.214668989181519
1735984698.094497,1735984698.095799,0.0,0.0,4237.563965,4310.641113,4039.871826,4169.487305,4233.974121,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,0.0,0.0,0.729082,0.192749,0.642761,-0.134705,0.981949,-0.09546,-0.102785,-1.899045,-21.524517,-9.222245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.222480058670044
1735984698.102307,1735984698.10361,1.0,0.0,4240.0,4301.538574,4038.974365,4160.641113,4231.538574,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.230290174484253
1735984698.110118,1735984698.11142,2.0,0.0,4236.794922,4310.256348,4059.102539,4161.025879,4232.179688,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,94.795914,9.377708,3.394689,1.7771,0.569567,4.900089,0.402043,0.688427,0.763567,0.411474,7.556267,2.223605,4.7293,1.814123,0.89339,6.994552,2.682015,1.050576,1.120448,0.393284,87.533951,8.458218,4.839581,1.317051,0.365661,,,,,,,,15.2381010055542
1735984698.117928,1735984698.11923,3.0,0.0,4251.153809,4326.410156,4075.512939,4175.512695,4244.230957,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.245911121368408
1735984698.125739,1735984698.126941,4.0,0.0,4261.410156,4327.179688,4087.05127,4177.436035,4249.743652,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,1.0,0.0,0.729141,0.192688,0.6427,-0.134766,0.977066,-0.103273,-0.092531,-2.038125,-21.480556,-9.376697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.253722190856934
1735984698.133549,1735984698.134751,5.0,0.0,4249.615234,4318.974121,4087.820557,4164.230957,4238.589844,0.0,3.0,71.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.261532068252563
