Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,RelativeTimestamp
1736158239.979923,24.0,0.0,4293.077148,4438.205078,3847.94873,4233.077148,4309.871582,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,6.0,0.0,0.026262,0.676392,0.131104,-0.724304,0.991592,0.15613,-0.057008,-0.004814,-0.007158,-0.008119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.007132053375244
1736158239.987738,25.0,0.0,4278.589844,4423.717773,3827.179443,4215.384766,4293.589844,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.014946937561035
1736158239.995553,26.0,0.0,4286.025879,4429.871582,3848.333252,4227.94873,4300.0,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,1.80948,0.954588,1.295663,1.065558,0.85274,1.150754,0.413908,0.666961,0.651111,0.631822,2.159019,0.871422,0.653604,0.800048,0.782899,1.088868,1.308151,1.03228,0.999373,0.68991,1.744777,0.577931,1.203782,0.941166,0.721702,1.0,91.666664,4.0,4.0,4.0,4.0,3.0,3.0227620601654053
1736158240.003367,27.0,0.0,4290.512695,4434.487305,3870.641113,4238.461426,4300.256348,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03057599067688
1736158240.011082,28.0,0.0,4277.307617,4428.461426,3858.205078,4228.717773,4285.384766,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,7.0,0.0,0.025462,0.676208,0.131531,-0.724426,0.98378,0.147341,-0.045289,-0.004931,-0.007199,-0.008198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0382909774780273
1736158240.018897,29.0,0.0,4277.179688,4437.05127,3859.871826,4235.384766,4291.410156,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0461061000823975
1736158240.026712,30.0,0.0,4280.0,4443.077148,3877.05127,4240.384766,4300.384766,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0539209842681885
1736158240.034527,31.0,0.0,4265.641113,4430.0,3872.179443,4222.563965,4284.615234,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0617361068725586
1736158240.042242,32.0,0.0,4263.589844,4428.974121,3869.102539,4225.897461,4281.410156,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,8.0,0.0,0.025079,0.676514,0.131042,-0.724243,0.98378,0.147341,-0.045289,-0.005036,-0.007236,-0.008269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.069451093673706
1736158240.050057,33.0,0.0,4273.974121,4435.0,3875.384521,4241.282227,4296.666504,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.077265977859497
