Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,CQ.Overall,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.T7,EQ.Pz,EQ.T8,EQ.AF4,RelativeTimestamp
1736158446.975129,1736158446.976632,16.0,0.0,4232.436035,4449.487305,4014.358887,4231.538574,4344.102539,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,4.0,0.0,0.652321,0.261597,0.585815,-0.403564,0.993667,0.096681,-0.148928,-0.002573,-0.014041,-0.007835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0066328048706055
1736158446.982939,1736158446.984447,17.0,0.0,4224.615234,4446.538574,4004.487061,4223.974121,4337.436035,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0144429206848145
1736158446.990748,1736158446.992262,18.0,0.0,4202.05127,4418.333496,3985.128174,4202.436035,4312.307617,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.022251844406128
1736158446.998558,1736158447.000077,19.0,0.0,4194.102539,4415.256348,3976.923096,4192.05127,4298.974121,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.030061960220337
1736158447.006367,1736158447.007992,20.0,0.0,4213.205078,4442.692383,3988.205078,4208.077148,4315.769043,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,5.0,0.0,0.652382,0.261719,0.585693,-0.403564,0.993667,0.096681,-0.148928,-0.002438,-0.014004,-0.00776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0378708839416504
1736158447.014177,1736158447.015806,21.0,0.0,4212.692383,4436.538574,3991.153809,4207.307617,4317.05127,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0456809997558594
1736158447.021986,1736158447.023621,22.0,0.0,4202.563965,4424.615234,3994.871826,4200.384766,4309.487305,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.053489923477173
1736158447.029796,1736158447.031436,23.0,0.0,4220.897461,4445.512695,4013.974365,4223.589844,4332.05127,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0612998008728027
1736158447.037605,1736158447.039351,24.0,0.0,4230.512695,4451.666504,4021.410156,4234.615234,4343.974121,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,6.0,0.0,0.652339,0.261963,0.585632,-0.403564,0.985367,0.092287,-0.163088,-0.002414,-0.014093,-0.007728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0691089630126953
1736158447.045415,1736158447.047166,25.0,0.0,4217.179688,4445.512695,4020.128174,4213.846191,4323.974121,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.076918840408325
1736158447.053224,1736158447.054981,26.0,0.0,4223.974121,4461.538574,4031.923096,4212.820313,4324.871582,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0847280025482178
1736158447.061033,1736158447.062796,27.0,0.0,4246.153809,4468.077148,4033.718018,4233.333496,4351.922852,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0925369262695312
1736158447.068843,1736158447.07071,28.0,0.0,4257.563965,4455.512695,4011.025635,4233.846191,4371.794922,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,7.0,0.0,0.652301,0.261963,0.585632,-0.403625,0.99855,0.085939,-0.150393,-0.002453,-0.014026,-0.007785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.100346803665161
1736158447.076652,1736158447.078525,29.0,0.0,4267.820313,4447.436035,3988.461426,4218.974121,4390.0,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1081559658050537
1736158447.084462,1736158447.08634,30.0,0.0,4279.487305,4432.820313,3981.923096,4217.307617,4416.538574,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,19.869368,7.928305,6.9017,1.73652,1.412002,23.993559,7.346749,3.469321,1.346403,1.633219,9.601953,8.682446,5.600945,0.93405,1.115166,18.348206,8.946741,5.772825,2.049212,1.397072,19.433882,9.865829,6.632735,1.861758,1.31422,1.0,83.333336,4.0,4.0,4.0,3.0,3.0,3.1159658432006836
1736158447.092271,1736158447.094155,31.0,0.0,4295.0,4421.153809,3992.692383,4237.820313,4451.153809,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.123775005340576
1736158447.100081,1736158447.10207,32.0,0.0,4318.717773,4430.128418,4009.358887,4264.615234,4488.589844,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,8.0,0.0,0.652161,0.261841,0.585632,-0.403931,0.99855,0.085939,-0.150393,-0.002427,-0.013991,-0.007776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.131584882736206
1736158447.10789,1736158447.109885,33.0,0.0,4320.256348,4427.307617,4007.179443,4269.615234,4499.102539,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1393938064575195
1736158447.115699,1736158447.1177,34.0,0.0,4292.820313,4409.102539,3987.435791,4259.615234,4481.666504,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.147202968597412
1736158447.123509,1736158447.125515,35.0,0.0,4280.256348,4417.820313,3978.718018,4270.641113,4479.358887,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.155012845993042
1736158447.131318,1736158447.133429,36.0,0.0,4281.666504,4440.641113,3986.923096,4294.743652,4485.512695,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,9.0,0.0,0.651773,0.261719,0.585571,-0.404724,1.000992,0.087404,-0.15967,-0.002588,-0.013898,-0.007804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1628220081329346
1736158447.139128,1736158447.141244,37.0,0.0,4257.307617,4437.179688,3990.897461,4296.538574,4462.820313,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1706318855285645
1736158447.146937,1736158447.149059,38.0,0.0,4227.820313,4421.025879,3986.281982,4288.205078,4433.589844,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.178440809249878
1736158447.154747,1736158447.156874,39.0,0.0,4221.794922,4418.846191,3988.846191,4292.563965,4420.641113,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.186250925064087
1736158447.162556,1736158447.164789,40.0,0.0,4207.05127,4416.282227,3988.461426,4286.538574,4396.794922,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,10.0,0.0,0.651086,0.261169,0.585693,-0.406006,0.995132,0.082521,-0.14844,-0.0025,-0.013924,-0.007817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1940598487854004
1736158447.170365,1736158447.172604,41.0,0.0,4169.615234,4390.512695,3963.589844,4255.384766,4359.615234,0.0,2.0,44.0,,,,0.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.201869010925293
